item_id,family_id,difficulty_lever,model,carrier,admin,pass,is_infra_error
26,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
26,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
26,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
26,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
26,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
26,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
27,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
27,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
27,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
27,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
27,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
27,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
28,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
28,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
28,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
28,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
28,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
28,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
29,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
29,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
29,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
29,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
29,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
29,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
30,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
30,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
30,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
30,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
30,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
30,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
31,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
31,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
31,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
31,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
31,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
31,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
32,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
32,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
32,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
32,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
32,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
32,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
33,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
33,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
33,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
33,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
33,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
33,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
34,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
34,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
34,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
34,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
34,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
34,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
35,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
35,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
35,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
35,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
35,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
35,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
40,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
40,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
40,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
40,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
40,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
40,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
41,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
41,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
41,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
41,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
41,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
41,ANCHOR,anchor,google/gemma-4-e2b,baseline,1,1,0
